record_id,reported_date,brand,sector,action_type,campaign_or_action,primary_objective,occasion_context,geography_focus,celebrity_or_creator,talent_used,primary_channel,creative_strategy,ai_data_angle,funnel_stage,source_publication,source_url,coding_confidence,notes,occasion_flag,regional_localization,month,week_start
ICG-029,2026-08-06,Truecaller Ads,AdTech,Data Product Launch,Truecaller Pulse,Turn declared consumer preferences into activation-ready audiences,None,India,None stated,0,Digital / AdTech,Declared-intent audience intelligence,1,B2B Consideration,Exchange4media,https://www.exchange4media.com/articles/2026-08-06.html,High,,0,0,2026-08,2026-08-06
ICG-030,2026-08-10,Google Gemini,Technology / AI,Celebrity Campaign,Gemini campaign with Shah Rukh Khan,Build mass-market awareness and relevance for AI,None,India,Shah Rukh Khan,1,Film / Integrated,Celebrity + mainstream AI storytelling,1,Awareness,Exchange4media,https://www.exchange4media.com/articles/2026-08-10.html,High,,0,0,2026-08,2026-08-10
ICG-031,2026-08-10,Pepperfry,Furniture / Home,Brand Ambassador + Brand Platform,Fashion for Your Home,Reposition home furnishing as expressive fashion,None,India,Kiara Advani; Sidharth Malhotra,1,Integrated,Celebrity couple + lifestyle positioning,0,Awareness,Exchange4media,https://www.exchange4media.com/articles/2026-08-10.html,High,,0,0,2026-08,2026-08-10
ICG-032,2026-08-10,Pro Govinda League,Sports,Brand Ambassador,Suryakumar Yadav appointed brand ambassador,Increase reach and cultural/sports relevance ahead of season 4,Dahi Handi / Govinda,Mumbai / India,Suryakumar Yadav,1,Events / Sports,Cricket celebrity crossover,0,Awareness,Exchange4media,https://www.exchange4media.com/articles/2026-08-10.html,High,,1,1,2026-08,2026-08-10
ICG-033,2026-08-10,Catch Salt & Spices,FMCG - Food,Content Integration,Three-season partnership with Laughter Chefs,Build recall through repeated contextual entertainment integration,None,India,Laughter Chefs cast,1,TV / Branded Content,Long-term contextual brand integration,0,Consideration,Exchange4media,https://www.exchange4media.com/articles/2026-08-10.html,High,,0,0,2026-08,2026-08-10
ICG-034,2026-08-12,Zepto,Quick Commerce,Festive Promotion,Independence Day campaign,Drive purchase participation through brand/seller rewards during a short festive window,Independence Day,India,None stated,0,App / Commerce,Reward-led conversion promotion,0,Conversion,Zepto,https://zepto-landing-page.webflow.io/terms-conditions-independence-day-2026,High,,1,0,2026-08,2026-08-12
ICG-035,2026-08-13,Indriya,Jewellery,Regional Ambassador + Festive Campaign,Varalakshmi campaign for southern markets,Build regional relevance around heritage-inspired jewellery,Varalakshmi,South India,Krithi Shetty,1,Integrated,Regional culture + celebrity,0,Consideration,Exchange4media,https://www.exchange4media.com/articles/2026-08-13.html,High,,1,1,2026-08,2026-08-13
ICG-036,2026-08-13,Lavie Sport,Fashion / Accessories,Social Media Mandate,Team Pumpkin social media mandate,Scale digital presence,None,India,None stated,0,Social,Always-on social growth,0,Awareness,Exchange4media,https://www.exchange4media.com/articles/2026-08-13.html,High,,0,0,2026-08,2026-08-13
ICG-037,2026-08-14,Cuticura,Beauty / Personal Care,Regional TV Campaign,Priye Sundari,Promote updated talc and fragrance technology through Kerala-focused communication,None,Kerala,Priya Prakash Varrier,1,TV,Regional celebrity + product proposition,0,Consideration,Campaign India,https://www.campaignindia.in/latest/new-campaigns,High,,0,1,2026-08,2026-08-14
ICG-038,2026-08-14,Spotify,Music Streaming,Experiential Event,I-Pop Icons Live - second edition,Deepen Premium subscriber engagement through live Indian pop experiences,None,Mumbai,Five performing artists,1,Live / Experiential,Subscriber exclusivity + live culture,0,Retention,Campaign India,https://www.campaignindia.in/latest/new-campaigns,High,,0,1,2026-08,2026-08-14
ICG-039,2026-08-14,Nykaa,Beauty Retail,Sale Campaign,Skin Freedom Sale 2026,Drive skincare purchase through brand-level offers and restocking urgency,Independence season,India,None stated,0,E-commerce / Content,Offer-led category event,0,Conversion,Nykaa,https://www.nykaa.com/beauty-blog/nykaa-skincare-sale-2026,High,,1,0,2026-08,2026-08-14
ICG-040,2026-08-15,Dabur Red,FMCG - Oral Care,UGC / Music Campaign,Desh Ke Lal,Celebrate a new generation through anthem-led content and a hook-step participation challenge,Independence Day,India,Audience creators / participants,1,Digital / Social,Music + UGC participation,0,Engagement,Campaign India,https://www.campaignindia.in/latest/new-campaigns,High,,1,0,2026-08,2026-08-15
ICG-041,2026-08-15,Bandhan Mutual Fund,Financial Services,Festive / Purpose Campaign,Kya Azaad Ho Tum?,Connect financial freedom with long-term investing,Independence Day,India,None stated,0,Film / Integrated,Freedom metaphor + financial planning,0,Consideration,Campaign India,https://www.campaignindia.in/latest/new-campaigns,High,,1,0,2026-08,2026-08-15
ICG-042,2026-08-15,JBL,Consumer Electronics,Occasion Campaign,Freedom of listening,Use Independence Day to highlight different listening experiences,Independence Day,India,None stated,0,Integrated,Freedom metaphor + product use cases,0,Awareness,Campaign India,https://www.campaignindia.in/latest/new-campaigns,High,,1,0,2026-08,2026-08-15
ICG-043,2026-08-17,Axis Max Life,Insurance,Retirement Campaign,Future aspirations retirement film,Position retirement planning as a route to future aspirations,None,India,Rohit Sharma; Ritika Sajdeh,1,Film / Integrated,Celebrity couple + future-self storytelling,0,Consideration,Campaign India,https://www.campaignindia.in/latest/new-campaigns,High,,0,0,2026-08,2026-08-17
ICG-044,2026-08-17,The Women's Hospital,Healthcare,Awareness Campaign,Love Beyond the Latch,Encourage supportive conversations around breastfeeding challenges,Breastfeeding awareness,India,Real mothers / patients,1,Digital / Content,Real-experience storytelling,0,Awareness,Campaign India,https://www.campaignindia.in/latest/new-campaigns,High,,1,0,2026-08,2026-08-17
ICG-045,2026-08-17,Godrej Industries Group,Conglomerate,Corporate Brand Film,Purpose film,Connect diverse businesses through refreshed purpose and long-term ambition,None,India,None stated,0,Film,Corporate purpose storytelling,0,Awareness,Campaign India,https://www.campaignindia.in/latest/new-campaigns,High,,0,0,2026-08,2026-08-17
ICG-046,2026-08-17,Exotel,B2B Technology,Occasion Campaign,Friendship Day fragmented-CX campaign,Use customer-service frustration to position agentic AI as a relationship tool,Friendship Day,India,None stated,0,Digital,Occasion hijack + pain-point dramatization,1,Consideration,Campaign India,https://www.campaignindia.in/latest/new-campaigns,High,,1,0,2026-08,2026-08-17
ICG-047,2026-08-19,EUME,Travel Accessories,Experiential Festive Campaign,100 Days of Gold airport installation,Engage festive travellers through a high-traffic experiential installation,Festive season,Mumbai Airport,None stated,0,Airport / Experiential,Physical installation + travel context,0,Awareness,Campaign India,https://www.campaignindia.in/latest/new-campaigns,High,,1,1,2026-08,2026-08-19
ICG-048,2026-08-19,Laphroaig + Brut India,Beverages / Media,Social Content Series,Pronunciation social series,Turn a commonly asked brand question into entertainment and recall,None,India,Brut India talent / creators,1,Social,Brand-name friction turned into content,0,Awareness,Campaign India,https://www.campaignindia.in/latest/new-campaigns,High,,0,0,2026-08,2026-08-19
ICG-049,2026-08-19,Dabur Pudin Hara,FMCG - Digestive Care,Digital Campaign,Anu Malik catchphrase campaign,Use pop-culture recall to connect the brand with acidity relief,None,India,Anu Malik,1,Digital,Pop-culture mnemonic,0,Awareness,Campaign India,https://www.campaignindia.in/latest/new-campaigns,High,,0,0,2026-08,2026-08-19
ICG-050,2026-08-19,Blissclub,Fashion / Activewear,Product Launch Campaign,Zenims launch,Challenge denim discomfort with a comfort-engineered alternative,None,India,None stated,0,Digital / Integrated,Problem-solution product positioning,0,Consideration,Campaign India,https://www.campaignindia.in/latest/new-campaigns,High,,0,0,2026-08,2026-08-19
ICG-051,2026-08-19,Sintex,Home / Building Materials,Legacy Campaign,Category-defining legacy campaign,Reinforce original category role and strengthen brand recall,None,India,None stated,0,Integrated,Heritage + category ownership,0,Awareness,Campaign India,https://www.campaignindia.in/latest/new-campaigns,High,,0,0,2026-08,2026-08-19
ICG-052,2026-08-21,Tata Tea Chakra Gold,FMCG - Beverage,Purpose Campaign,Ghanam Soch,Put a visible value on unpaid domestic work,Social issue,India,None stated,0,Integrated,Social insight + purpose,0,Awareness,Campaign India,https://www.campaignindia.in/latest/new-campaigns,High,,1,0,2026-08,2026-08-21
ICG-053,2026-08-21,Victorinox India,Lifestyle / Watches,Brand Association,18-month association with Abhay Deol,Build premium watch affinity through a distinctive celebrity fit,None,India,Abhay Deol,1,Integrated,Celebrity association,0,Awareness,Campaign India,https://www.campaignindia.in/latest/new-campaigns,High,,0,0,2026-08,2026-08-21
ICG-054,2026-08-21,Hero Future Energies,Renewable Energy,Brand Ambassador,PV Sindhu brand ambassadorship,Build brand meaning around clean-energy ambition and growth,None,India,PV Sindhu,1,Integrated,Athlete credibility + purpose,0,Awareness,Campaign India,https://www.campaignindia.in/latest/new-campaigns,High,,0,0,2026-08,2026-08-21
ICG-055,2026-08-21,Beco,Home Care,Ingredient Transparency Campaign,Home-care ingredient scrutiny campaign,Prompt consumers to examine ingredients using comparisons and scientific references,None,India,None stated,0,Digital / Integrated,Evidence-led comparative education,1,Consideration,Campaign India,https://www.campaignindia.in/latest/new-campaigns,High,,0,0,2026-08,2026-08-21
ICG-056,2026-08-24,Foxtale,Beauty / Skincare,Brand Ambassador + Brand Platform,Let Your Glow Through,Build a new brand philosophy across key skincare categories,None,India,Shah Rukh Khan,1,Integrated,Celebrity + brand philosophy,0,Awareness,Campaign India,https://www.campaignindia.in/latest/new-campaigns,High,,0,0,2026-08,2026-08-24
ICG-057,2026-08-24,ixigo,Travel,Independence Day Campaign,Explore India through rap,Encourage Gen Z to explore lesser-known Indian destinations,Independence Day,India,Music performers / creators,1,Digital / Music,Rap + youth travel discovery,0,Engagement,Campaign India,https://www.campaignindia.in/latest/new-campaigns,High,,1,0,2026-08,2026-08-24
ICG-058,2026-08-24,FRND,Social / Consumer App,Independence Day Campaign,Dil Se Bol,Celebrate linguistic identity and authentic expression across Indian languages,Independence Day,India,None stated,0,Film / Audio,Multilingual cultural identity,0,Awareness,Campaign India,https://www.campaignindia.in/latest/new-campaigns,High,,1,0,2026-08,2026-08-24
ICG-059,2026-08-24,Two Brothers India Farms,Food / D2C,Integrated Campaign,Food quality and sourcing campaign,Question everyday food choices and educate on sourcing,None,India,Creators,1,OTT / Digital / Integrated,Humour + creators + food education,0,Consideration,Campaign India,https://www.campaignindia.in/latest/new-campaigns,High,,0,0,2026-08,2026-08-24
ICG-060,2026-08-24,Luxor Crayola,Stationery / Kids,Experiential Partnership,Creativity beyond classrooms,Create family engagement through cinema-linked colouring experiences,None,India,None stated,0,Cinema / Experiential,Interactive family activation,0,Engagement,Campaign India,https://www.campaignindia.in/latest/new-campaigns,High,,0,0,2026-08,2026-08-24
ICG-061,2026-08-24,Ten x You,Sports / Lifestyle,Celebrity Brand Film,Play over performance film,Celebrate informal gully cricket rather than achievement metrics,None,India,Sachin Tendulkar,1,Film / Digital,Cultural sports nostalgia,0,Awareness,Campaign India,https://www.campaignindia.in/latest/new-campaigns,High,,0,0,2026-08,2026-08-24
ICG-062,2026-08-24,Nykaa,Beauty Retail,Awareness Campaign,Beauty Awareness Week,Put personal beauty questions at the centre of discovery,Awareness Week,India,None stated,0,Content / Digital,Question-led personalization,1,Consideration,Campaign India,https://www.campaignindia.in/latest/new-campaigns,High,,1,0,2026-08,2026-08-24
ICG-063,2026-08-24,Mercedes-Benz India,Automotive,Festive Sales Campaign,Dream Days,"Support luxury-car purchases with finance, exchange and upgrade benefits",Festive season,India,None stated,0,Integrated / Retail,Offer-led premium conversion,0,Conversion,Campaign India,https://www.campaignindia.in/latest/new-campaigns,High,,1,0,2026-08,2026-08-24
ICG-064,2026-08-24,Nykaa,Beauty Retail,Gen Z Participation Campaign,Be The Face of Nykaa,"Invite young beauty enthusiasts into campaigns, content and brand experiences",None,India,Gen Z participants / creators,1,Social / Community,Participation + community co-creation,0,Engagement,Campaign India,https://www.campaignindia.in/latest/new-campaigns,High,,0,0,2026-08,2026-08-24
ICG-065,2026-08-24,Narasu's Coffee,FMCG - Beverage,Centenary Campaign,A Century in a Cup,Mark 100 years by tracing changing eras through the ritual of filter coffee,Centenary,South India / India,None stated,0,TVC / Film,Heritage + ritual storytelling,0,Awareness,Campaign India,https://www.campaignindia.in/latest/new-campaigns,High,,1,1,2026-08,2026-08-24
ICG-066,2026-08-25,Axis Bank,Banking,NRI Campaign,Emotional home-distance campaign,"Connect NRI banking with family care, responsibility and distance",None,NRI / India,None stated,0,Film / Integrated,Emotional family storytelling,0,Consideration,Campaign India,https://www.campaignindia.in/latest/new-campaigns,High,,0,0,2026-08,2026-08-25
ICG-067,2026-08-26,Coca-Cola India + IRCTC,FMCG - Beverage,Sustainability Partnership,Sprite Tejas Express waste-to-value expansion,Extend a branded train partnership through visible circular-economy infrastructure,None,India,None stated,0,Partnership / Experiential,Sustainability + branded infrastructure,0,Awareness,Campaign India,https://www.campaignindia.in/latest/new-campaigns,High,,0,0,2026-08,2026-08-26
ICG-068,2026-08-26,Sify,Enterprise Technology,Brand Campaign,Your Move,"Frame enterprise AI adoption around flexibility, control and technology choice",None,India,None stated,0,Integrated,Choice-led B2B positioning,1,Consideration,Campaign India,https://www.campaignindia.in/latest/new-campaigns,High,,0,0,2026-08,2026-08-26
ICG-069,2026-08-26,CenturyPly,Building Materials,National Celebrity Campaign,Total Cover campaign,Reframe warranties around the cost of rebuilding furniture,None,India,Aamir Khan,1,Integrated,Celebrity + financial-risk reframing,0,Consideration,Campaign India,https://www.campaignindia.in/latest/new-campaigns,High,Campaign amplification of the Total Cover proposition reported earlier in August.,0,0,2026-08,2026-08-26
ICG-070,2026-08-26,Cleartrip,Online Travel,Offer Campaign,₹0 hotel-booking flexibility campaign,Use workplace satire to promote flexible hotel bookings,None,India,None stated,0,Print / Integrated,Humour + offer-led conversion,0,Conversion,Campaign India,https://www.campaignindia.in/latest/new-campaigns,High,,0,0,2026-08,2026-08-26
ICG-071,2026-08-26,River,Electric Mobility,Brand Film,Made for Makers,Position the Indie around independent professionals and creators,None,India,Independent professionals / makers,1,Film,Craft-led maker identity,0,Awareness,Campaign India,https://www.campaignindia.in/latest/new-campaigns,High,,0,0,2026-08,2026-08-26
ICG-072,2026-08-26,Story TV,Media / Entertainment,AI Content Campaign,The Bose Network,Use AI-integrated production to recreate a historical escape story as micro-drama,None,India,None stated,0,Short-form / Digital,History + AI-assisted storytelling,1,Engagement,Campaign India,https://www.campaignindia.in/latest/new-campaigns,High,,0,0,2026-08,2026-08-26
ICG-073,2026-08-26,ENO,FMCG - Digestive Care,Regional Film Campaign,Broader acidity symptom platform,Expand the category frame by linking multiple digestive discomforts with acidity,None,India / Regional,None stated,0,Regional Films,Category education + symptom expansion,0,Consideration,Campaign India,https://www.campaignindia.in/latest/new-campaigns,High,,0,1,2026-08,2026-08-26
ICG-074,2026-08-27,Nykaa Now,Quick Beauty Commerce,Service Proposition Campaign,30-minute beauty delivery campaign,Make rapid beauty delivery salient through an urgent beauty scenario,None,India,Sharvari; Sheeba Chaddha,1,Film / Digital,Time pressure + mother-daughter humour,0,Conversion,Campaign India,https://www.campaignindia.in/latest,High,,0,0,2026-08,2026-08-27
ICG-075,2026-08-27,D'Decor,Home Furnishings,Celebrity Campaign,Personalised bedrooms campaign,"Highlight design choice, individuality and softness",None,India,Kartik Aaryan; Ananya Panday,1,Film / Integrated,Celebrity pair + personalization,0,Consideration,Campaign India,https://www.campaignindia.in/latest,High,,0,0,2026-08,2026-08-27
ICG-076,2026-08-27,Borosil,Kitchenware,Branded Content,Kitchen Connection episode,Blend personal kitchen storytelling with functional product/design relevance,None,India,Chef Harpal Singh Sokhi,1,Digital Content,Expert-led personal storytelling,0,Consideration,Campaign India,https://www.campaignindia.in/latest,High,,0,0,2026-08,2026-08-27
ICG-077,2026-08-27,Eureka Forbes,Home Appliances,D2C Service Campaign,Four-hour delivery-installation-exchange promise,Differentiate D2C purchase through service speed and convenience,None,India,None stated,0,D2C / Digital,Operational promise as marketing proposition,0,Conversion,Campaign India,https://www.campaignindia.in/latest,High,,0,0,2026-08,2026-08-27
ICG-078,2026-08-27,Titan Raga,Fashion / Watches,Purpose-led Celebrity Campaign,Your Way Is Beautiful,Reframe judgement as an opportunity for women to assert themselves,None,India,Alia Bhatt,1,Film / Integrated,Empowerment + celebrity,0,Awareness,Campaign India,https://www.campaignindia.in/latest,High,,0,0,2026-08,2026-08-27
ICG-079,2026-08-27,HDFC Bank,Banking,Fraud Awareness Series,Vigil Aunty comedy series,Promote safer digital transactions through entertainment-led education,Cyber safety,India,Stand-up comedians,1,Digital / Video,Comedy + financial education,0,Awareness,Campaign India,https://www.campaignindia.in/latest,High,,1,0,2026-08,2026-08-27
ICG-080,2026-08-28,Hyundai Motor India + Radio Mirchi,Automotive,Data-led Utility Initiative,Traffic Quality Index,Create a seven-city traffic information utility using live data and radio intelligence,None,7 Indian cities,Radio Mirchi presenters / data inputs,1,Radio / Data,Branded utility + live data,1,Engagement,Campaign India,https://www.campaignindia.in/latest,High,,0,1,2026-08,2026-08-28
ICG-081,2026-08-28,CDSL IPF + Amar Chitra Katha,Financial Education,Educational Content Campaign,Animated investing film,Simplify financial planning using familiar Indian characters and multilingual storytelling,Investor education,India,Akbar and Birbal characters,1,Animation / Digital,Edutainment + cultural familiarity,0,Awareness,Campaign India,https://www.campaignindia.in/latest,High,,1,0,2026-08,2026-08-28
ICG-082,2026-08-29,Killer Jeans,Fashion,Brand Campaign,Genes of India,Use denim and regional diversity to explore contemporary Indian identity,None,India,None stated,0,Integrated,Regional diversity + identity,0,Awareness,Campaign India,https://www.campaignindia.in/latest,High,,0,0,2026-08,2026-08-29
ICG-083,2026-08-29,Renaissance Goa,Hospitality,Celebrity Destination Campaign,Discovery-led Goa campaign,"Showcase design, food and evening experiences through a celebrity lens",None,Goa,Janhvi Kapoor,1,Digital / Integrated,Celebrity discovery journey,0,Consideration,Campaign India,https://www.campaignindia.in/latest,High,,0,1,2026-08,2026-08-29
ICG-084,2026-08-29,Medanta,Healthcare,Public Health Campaign,Taalo Mat Pehchaano,Encourage earlier recognition of oral-cancer signs using a mnemonic and 2-week rule,Oral cancer awareness,India,None stated,0,Integrated / On-ground,Mnemonic + behavioural prompt,0,Awareness,Campaign India,https://www.campaignindia.in/latest,High,,1,0,2026-08,2026-08-29
ICG-085,2026-08-29,Parle Monaco,FMCG - Snacks,Music Campaign,Sada Salty Raho anthem extension,Move an individuality-led platform into culture and music,None,India,Orry; Chaar Diwari; The Siege,1,Music / Digital,Culture + music + personalities,0,Engagement,Campaign India,https://www.campaignindia.in/latest,High,,0,0,2026-08,2026-08-29
