record_id,reported_date,brand,sector,action_type,campaign_or_action,primary_objective,occasion_context,geography_focus,celebrity_or_creator,talent_used,primary_channel,creative_strategy,ai_data_angle,funnel_stage,source_publication,source_url,coding_confidence,notes,occasion_flag,regional_localization,month,week_start,sector_group,reported_month,lower_funnel_flag,talent_label,occasion_label
ICG-011,2026-06-29,Del Monte,FMCG - Food,Creative Agency Mandate,Creativeland Asia creative mandate,Refresh or scale creative brand communication,,India,None stated,0,Creative / Integrated,Agency-led creative development,0,Strategy,Exchange4media,https://www.exchange4media.com/articles/2026-06-29.html,High,,0,0,2026-06,2026-06-29,FMCG / Food & Beverage,2026-06,0,No named talent stated,Not occasion-linked
ICG-012,2026-06-29,Vande Bharatam,Culture / Entertainment,Brand Ambassador / Host,Rajeev Khandelwal appointed ambassador and host,Use a known public figure to amplify programme milestones and engagement,,India,Rajeev Khandelwal,1,Events / Content,Ambassador-led engagement,0,Awareness,Exchange4media,https://www.exchange4media.com/articles/2026-06-29.html,High,,0,0,2026-06,2026-06-29,Technology & Electronics,2026-06,0,Named talent used,Not occasion-linked
ICG-013,2026-07-02,Lotte India,FMCG - Confectionery,Creative Agency Mandate,Dentsu Creative wins creative mandate,Build and execute creative brand communication,,India,None stated,0,Creative / Integrated,Agency partnership,0,Strategy,Exchange4media,https://www.exchange4media.com/articles/2026-07-02.html,High,,0,0,2026-07,2026-07-02,FMCG / Food & Beverage,2026-07,0,No named talent stated,Not occasion-linked
ICG-014,2026-07-02,Riceberg Ventures,Venture Capital,PR Mandate,PR Companion wins communications mandate,"Increase visibility across startup, investor and innovation ecosystems",,India / Global,None stated,0,PR / Earned Media,Thought leadership + corporate visibility,0,Awareness,Exchange4media,https://www.exchange4media.com/articles/2026-07-02.html,High,,0,0,2026-07,2026-07-02,Financial Services,2026-07,0,No named talent stated,Not occasion-linked
ICG-015,2026-07-09,Mathrubhumi,Media,Festive Campaign,Two-version Onam campaign,Build cultural relevance through two distinct interpretations of Onam,Onam,Kerala,None stated,0,Integrated,Regional culture + ritual storytelling,0,Awareness,Exchange4media,https://www.exchange4media.com/articles/2026-07-09.html,High,,1,1,2026-07,2026-07-09,Media & Entertainment,2026-07,0,No named talent stated,Occasion-linked
ICG-016,2026-07-13,Hero MotoCorp,Automotive,Brand Film,Family ride through a child's imagination,Humanise mobility through family emotion and imaginative storytelling,,India,None stated,0,Film / Digital / TV,Emotional family storytelling,0,Awareness,Exchange4media,https://www.exchange4media.com/articles/2026-07-13.html,High,,0,0,2026-07,2026-07-13,Automotive & Mobility,2026-07,0,No named talent stated,Not occasion-linked
ICG-017,2026-07-16,Prime Video + Amazon MX Player,Streaming / AdTech,Advertising Product Launch,Unified advertising options,Make cross-platform buying easier with shoppable and sponsorship formats,,India,None stated,0,Streaming / Digital,Commerce-enabled media products,1,Conversion,Exchange4media,https://www.exchange4media.com/articles/2026-07-16.html,High,,0,0,2026-07,2026-07-16,Technology & Electronics,2026-07,1,No named talent stated,Not occasion-linked
ICG-018,2026-07-20,Stoa Paris,Home / Interior,Brand Ambassador,Karan Johar onboarded as brand ambassador,Build premium lifestyle associations around expressive living,,India,Karan Johar,1,Integrated,Celebrity + lifestyle positioning,0,Awareness,Exchange4media,https://www.exchange4media.com/articles/2026-07-20.html,High,,0,0,2026-07,2026-07-20,"Lifestyle, Home & Fashion",2026-07,0,Named talent used,Not occasion-linked
ICG-019,2026-07-24,Swiggy Instamart,Quick Commerce,Data-led PR Campaign,How India Instamarted,Turn consumer-behaviour data into highly shareable brand stories,,India,None stated,0,PR / Earned / Social,Data storytelling + earned-media design,1,Awareness,ET BrandEquity,https://brandequity.economictimes.indiatimes.com/news/marketing/marketing-matters-instamarts-lessons-on-delivering-a-data-led-campaign/132595429,High,,0,0,2026-07,2026-07-24,Retail & Commerce,2026-07,0,No named talent stated,Not occasion-linked
ICG-020,2026-07-27,POND'S,Beauty / Personal Care,Campaign Revival,Googly Woogly Wooksh revival,Reactivate distinctive brand memory and creative equity,,India,None stated,0,Integrated,Nostalgia + distinctive brand asset revival,0,Awareness,Exchange4media,https://www.exchange4media.com/articles/2026-07-27.html,High,,0,0,2026-07,2026-07-27,Beauty & Personal Care,2026-07,0,No named talent stated,Not occasion-linked
ICG-021,2026-07-27,Paytm,Fintech,Marketing Investment Increase,Marketing spend increased 27%,Accelerate consumer and merchant expansion,,India,None stated,0,Integrated,Growth investment,0,Acquisition,Exchange4media,https://www.exchange4media.com/articles/2026-07-27.html,High,Financial/strategy signal rather than one named campaign.,0,0,2026-07,2026-07-27,Financial Services,2026-07,1,No named talent stated,Not occasion-linked
ICG-022,2026-07-27,Go Zero,Food / D2C,Creator Strategy Shift,Influencer budget shut; in-house creator model adopted,Improve measurability and owned-content efficiency,,India,In-house creators,1,Social / Creator,Shift from rented influence to owned creator capability,1,Strategy,Exchange4media,https://www.exchange4media.com/articles/2026-07-27.html,High,,0,0,2026-07,2026-07-27,FMCG / Food & Beverage,2026-07,0,Named talent used,Not occasion-linked
ICG-023,2026-07-27,Canon India,Consumer Electronics,Digital & E-commerce Mandate,Dentsu Creative Isobar wins digital and e-commerce mandate,Strengthen digital commerce and brand execution,,India,None stated,0,Digital / E-commerce,Integrated digital commerce management,1,Conversion,Exchange4media,https://www.exchange4media.com/articles/2026-07-27.html,High,,0,0,2026-07,2026-07-27,Technology & Electronics,2026-07,1,No named talent stated,Not occasion-linked
ICG-024,2026-07-30,ThinkResult + PubMatic,AdTech,Programmatic Campaign,Agentic CTV campaign via AgenticOS,Demonstrate faster setup and media efficiency using agentic technology,,India,None stated,0,CTV / Programmatic,AI-enabled campaign operations,1,Performance,Exchange4media,https://www.exchange4media.com/articles/2026-07-30.html,High,,0,0,2026-07,2026-07-30,Technology & Electronics,2026-07,1,No named talent stated,Not occasion-linked
ICG-025,2026-07-30,KFC India,QSR,Community / Creator Campaign,Double Chicken Dynamite with PlayAce,Place product inside authentic Gen Z social settings,,India,PlayAce community creators,1,Social / Community,Community-first content rather than conventional commercials,0,Consideration,Exchange4media,https://www.exchange4media.com/articles/2026-07-30.html,High,,0,0,2026-07,2026-07-30,FMCG / Food & Beverage,2026-07,0,Named talent used,Not occasion-linked
ICG-026,2026-08-03,Welspun,Home Textiles,Sports Partnership / PR,Wimbledon association amplification,Use a credible global sports association to tell a manufacturing and brand story,Wimbledon,India / Global,None stated,0,PR / Partnership,Authenticity through sports partnership,0,Awareness,Exchange4media,https://www.exchange4media.com/articles/2026-08-03.html,High,,1,0,2026-08,2026-08-03,"Lifestyle, Home & Fashion",2026-08,0,No named talent stated,Occasion-linked
ICG-027,2026-08-03,CenturyPly,Building Materials,Product / Warranty Launch,Total Cover warranty,Differentiate the plywood offer through a broader warranty proposition,,India,None stated,0,Integrated,Risk-reduction product proposition,0,Consideration,Exchange4media,https://www.exchange4media.com/articles/2026-08-03.html,High,,0,0,2026-08,2026-08-03,"Lifestyle, Home & Fashion",2026-08,0,No named talent stated,Not occasion-linked
ICG-028,2026-08-03,SharkNinja,Consumer Appliances,Integrated Media Mandate,WPP Media / Wavemaker appointed in India,Build end-to-end media strategy across digital and offline,,India,None stated,0,Integrated Media,Unified media planning and investment,1,Strategy,Exchange4media,https://www.exchange4media.com/articles/2026-08-03.html,High,,0,0,2026-08,2026-08-03,Other,2026-08,0,No named talent stated,Not occasion-linked
ICG-029,2026-08-06,Truecaller Ads,AdTech,Data Product Launch,Truecaller Pulse,Turn declared consumer preferences into activation-ready audiences,,India,None stated,0,Digital / AdTech,Declared-intent audience intelligence,1,B2B Consideration,Exchange4media,https://www.exchange4media.com/articles/2026-08-06.html,High,,0,0,2026-08,2026-08-06,Technology & Electronics,2026-08,0,No named talent stated,Not occasion-linked
ICG-030,2026-08-10,Google Gemini,Technology / AI,Celebrity Campaign,Gemini campaign with Shah Rukh Khan,Build mass-market awareness and relevance for AI,,India,Shah Rukh Khan,1,Film / Integrated,Celebrity + mainstream AI storytelling,1,Awareness,Exchange4media,https://www.exchange4media.com/articles/2026-08-10.html,High,,0,0,2026-08,2026-08-10,Technology & Electronics,2026-08,0,Named talent used,Not occasion-linked
ICG-031,2026-08-10,Pepperfry,Furniture / Home,Brand Ambassador + Brand Platform,Fashion for Your Home,Reposition home furnishing as expressive fashion,,India,Kiara Advani; Sidharth Malhotra,1,Integrated,Celebrity couple + lifestyle positioning,0,Awareness,Exchange4media,https://www.exchange4media.com/articles/2026-08-10.html,High,,0,0,2026-08,2026-08-10,"Lifestyle, Home & Fashion",2026-08,0,Named talent used,Not occasion-linked
ICG-032,2026-08-10,Pro Govinda League,Sports,Brand Ambassador,Suryakumar Yadav appointed brand ambassador,Increase reach and cultural/sports relevance ahead of season 4,Dahi Handi / Govinda,Mumbai / India,Suryakumar Yadav,1,Events / Sports,Cricket celebrity crossover,0,Awareness,Exchange4media,https://www.exchange4media.com/articles/2026-08-10.html,High,,1,1,2026-08,2026-08-10,"Sports, Culture & Education",2026-08,0,Named talent used,Occasion-linked
ICG-033,2026-08-10,Catch Salt & Spices,FMCG - Food,Content Integration,Three-season partnership with Laughter Chefs,Build recall through repeated contextual entertainment integration,,India,Laughter Chefs cast,1,TV / Branded Content,Long-term contextual brand integration,0,Consideration,Exchange4media,https://www.exchange4media.com/articles/2026-08-10.html,High,,0,0,2026-08,2026-08-10,FMCG / Food & Beverage,2026-08,0,Named talent used,Not occasion-linked
ICG-034,2026-08-12,Zepto,Quick Commerce,Festive Promotion,Independence Day campaign,Drive purchase participation through brand/seller rewards during a short festive window,Independence Day,India,None stated,0,App / Commerce,Reward-led conversion promotion,0,Conversion,Zepto,https://zepto-landing-page.webflow.io/terms-conditions-independence-day-2026,High,,1,0,2026-08,2026-08-12,Retail & Commerce,2026-08,1,No named talent stated,Occasion-linked
ICG-035,2026-08-13,Indriya,Jewellery,Regional Ambassador + Festive Campaign,Varalakshmi campaign for southern markets,Build regional relevance around heritage-inspired jewellery,Varalakshmi,South India,Krithi Shetty,1,Integrated,Regional culture + celebrity,0,Consideration,Exchange4media,https://www.exchange4media.com/articles/2026-08-13.html,High,,1,1,2026-08,2026-08-13,"Lifestyle, Home & Fashion",2026-08,0,Named talent used,Occasion-linked
ICG-036,2026-08-13,Lavie Sport,Fashion / Accessories,Social Media Mandate,Team Pumpkin social media mandate,Scale digital presence,,India,None stated,0,Social,Always-on social growth,0,Awareness,Exchange4media,https://www.exchange4media.com/articles/2026-08-13.html,High,,0,0,2026-08,2026-08-13,"Lifestyle, Home & Fashion",2026-08,0,No named talent stated,Not occasion-linked
ICG-037,2026-08-14,Cuticura,Beauty / Personal Care,Regional TV Campaign,Priye Sundari,Promote updated talc and fragrance technology through Kerala-focused communication,,Kerala,Priya Prakash Varrier,1,TV,Regional celebrity + product proposition,0,Consideration,Campaign India,https://www.campaignindia.in/latest/new-campaigns,High,,0,1,2026-08,2026-08-14,Beauty & Personal Care,2026-08,0,Named talent used,Not occasion-linked
ICG-038,2026-08-14,Spotify,Music Streaming,Experiential Event,I-Pop Icons Live - second edition,Deepen Premium subscriber engagement through live Indian pop experiences,,Mumbai,Five performing artists,1,Live / Experiential,Subscriber exclusivity + live culture,0,Retention,Campaign India,https://www.campaignindia.in/latest/new-campaigns,High,,0,1,2026-08,2026-08-14,Media & Entertainment,2026-08,1,Named talent used,Not occasion-linked
ICG-039,2026-08-14,Nykaa,Beauty Retail,Sale Campaign,Skin Freedom Sale 2026,Drive skincare purchase through brand-level offers and restocking urgency,Independence season,India,None stated,0,E-commerce / Content,Offer-led category event,0,Conversion,Nykaa,https://www.nykaa.com/beauty-blog/nykaa-skincare-sale-2026,High,,1,0,2026-08,2026-08-14,Beauty & Personal Care,2026-08,1,No named talent stated,Occasion-linked
ICG-040,2026-08-15,Dabur Red,FMCG - Oral Care,UGC / Music Campaign,Desh Ke Lal,Celebrate a new generation through anthem-led content and a hook-step participation challenge,Independence Day,India,Audience creators / participants,1,Digital / Social,Music + UGC participation,0,Engagement,Campaign India,https://www.campaignindia.in/latest/new-campaigns,High,,1,0,2026-08,2026-08-15,FMCG / Food & Beverage,2026-08,0,Named talent used,Occasion-linked
ICG-041,2026-08-15,Bandhan Mutual Fund,Financial Services,Festive / Purpose Campaign,Kya Azaad Ho Tum?,Connect financial freedom with long-term investing,Independence Day,India,None stated,0,Film / Integrated,Freedom metaphor + financial planning,0,Consideration,Campaign India,https://www.campaignindia.in/latest/new-campaigns,High,,1,0,2026-08,2026-08-15,Financial Services,2026-08,0,No named talent stated,Occasion-linked
ICG-042,2026-08-15,JBL,Consumer Electronics,Occasion Campaign,Freedom of listening,Use Independence Day to highlight different listening experiences,Independence Day,India,None stated,0,Integrated,Freedom metaphor + product use cases,0,Awareness,Campaign India,https://www.campaignindia.in/latest/new-campaigns,High,,1,0,2026-08,2026-08-15,Technology & Electronics,2026-08,0,No named talent stated,Occasion-linked
ICG-043,2026-08-17,Axis Max Life,Insurance,Retirement Campaign,Future aspirations retirement film,Position retirement planning as a route to future aspirations,,India,Rohit Sharma; Ritika Sajdeh,1,Film / Integrated,Celebrity couple + future-self storytelling,0,Consideration,Campaign India,https://www.campaignindia.in/latest/new-campaigns,High,,0,0,2026-08,2026-08-17,Financial Services,2026-08,0,Named talent used,Not occasion-linked
ICG-044,2026-08-17,The Women's Hospital,Healthcare,Awareness Campaign,Love Beyond the Latch,Encourage supportive conversations around breastfeeding challenges,Breastfeeding awareness,India,Real mothers / patients,1,Digital / Content,Real-experience storytelling,0,Awareness,Campaign India,https://www.campaignindia.in/latest/new-campaigns,High,,1,0,2026-08,2026-08-17,Healthcare,2026-08,0,Named talent used,Occasion-linked
ICG-045,2026-08-17,Godrej Industries Group,Conglomerate,Corporate Brand Film,Purpose film,Connect diverse businesses through refreshed purpose and long-term ambition,,India,None stated,0,Film,Corporate purpose storytelling,0,Awareness,Campaign India,https://www.campaignindia.in/latest/new-campaigns,High,,0,0,2026-08,2026-08-17,Other,2026-08,0,No named talent stated,Not occasion-linked
ICG-046,2026-08-17,Exotel,B2B Technology,Occasion Campaign,Friendship Day fragmented-CX campaign,Use customer-service frustration to position agentic AI as a relationship tool,Friendship Day,India,None stated,0,Digital,Occasion hijack + pain-point dramatization,1,Consideration,Campaign India,https://www.campaignindia.in/latest/new-campaigns,High,,1,0,2026-08,2026-08-17,Technology & Electronics,2026-08,0,No named talent stated,Occasion-linked
ICG-047,2026-08-19,EUME,Travel Accessories,Experiential Festive Campaign,100 Days of Gold airport installation,Engage festive travellers through a high-traffic experiential installation,Festive season,Mumbai Airport,None stated,0,Airport / Experiential,Physical installation + travel context,0,Awareness,Campaign India,https://www.campaignindia.in/latest/new-campaigns,High,,1,1,2026-08,2026-08-19,Travel & Hospitality,2026-08,0,No named talent stated,Occasion-linked
ICG-048,2026-08-19,Laphroaig + Brut India,Beverages / Media,Social Content Series,Pronunciation social series,Turn a commonly asked brand question into entertainment and recall,,India,Brut India talent / creators,1,Social,Brand-name friction turned into content,0,Awareness,Campaign India,https://www.campaignindia.in/latest/new-campaigns,High,,0,0,2026-08,2026-08-19,FMCG / Food & Beverage,2026-08,0,Named talent used,Not occasion-linked
ICG-049,2026-08-19,Dabur Pudin Hara,FMCG - Digestive Care,Digital Campaign,Anu Malik catchphrase campaign,Use pop-culture recall to connect the brand with acidity relief,,India,Anu Malik,1,Digital,Pop-culture mnemonic,0,Awareness,Campaign India,https://www.campaignindia.in/latest/new-campaigns,High,,0,0,2026-08,2026-08-19,FMCG / Food & Beverage,2026-08,0,Named talent used,Not occasion-linked
ICG-050,2026-08-19,Blissclub,Fashion / Activewear,Product Launch Campaign,Zenims launch,Challenge denim discomfort with a comfort-engineered alternative,,India,None stated,0,Digital / Integrated,Problem-solution product positioning,0,Consideration,Campaign India,https://www.campaignindia.in/latest/new-campaigns,High,,0,0,2026-08,2026-08-19,"Lifestyle, Home & Fashion",2026-08,0,No named talent stated,Not occasion-linked
ICG-051,2026-08-19,Sintex,Home / Building Materials,Legacy Campaign,Category-defining legacy campaign,Reinforce original category role and strengthen brand recall,,India,None stated,0,Integrated,Heritage + category ownership,0,Awareness,Campaign India,https://www.campaignindia.in/latest/new-campaigns,High,,0,0,2026-08,2026-08-19,"Lifestyle, Home & Fashion",2026-08,0,No named talent stated,Not occasion-linked
ICG-052,2026-08-21,Tata Tea Chakra Gold,FMCG - Beverage,Purpose Campaign,Ghanam Soch,Put a visible value on unpaid domestic work,Social issue,India,None stated,0,Integrated,Social insight + purpose,0,Awareness,Campaign India,https://www.campaignindia.in/latest/new-campaigns,High,,1,0,2026-08,2026-08-21,FMCG / Food & Beverage,2026-08,0,No named talent stated,Occasion-linked
ICG-053,2026-08-21,Victorinox India,Lifestyle / Watches,Brand Association,18-month association with Abhay Deol,Build premium watch affinity through a distinctive celebrity fit,,India,Abhay Deol,1,Integrated,Celebrity association,0,Awareness,Campaign India,https://www.campaignindia.in/latest/new-campaigns,High,,0,0,2026-08,2026-08-21,"Lifestyle, Home & Fashion",2026-08,0,Named talent used,Not occasion-linked
ICG-054,2026-08-21,Hero Future Energies,Renewable Energy,Brand Ambassador,PV Sindhu brand ambassadorship,Build brand meaning around clean-energy ambition and growth,,India,PV Sindhu,1,Integrated,Athlete credibility + purpose,0,Awareness,Campaign India,https://www.campaignindia.in/latest/new-campaigns,High,,0,0,2026-08,2026-08-21,Energy & Sustainability,2026-08,0,Named talent used,Not occasion-linked
ICG-055,2026-08-21,Beco,Home Care,Ingredient Transparency Campaign,Home-care ingredient scrutiny campaign,Prompt consumers to examine ingredients using comparisons and scientific references,,India,None stated,0,Digital / Integrated,Evidence-led comparative education,1,Consideration,Campaign India,https://www.campaignindia.in/latest/new-campaigns,High,,0,0,2026-08,2026-08-21,"Lifestyle, Home & Fashion",2026-08,0,No named talent stated,Not occasion-linked
ICG-056,2026-08-24,Foxtale,Beauty / Skincare,Brand Ambassador + Brand Platform,Let Your Glow Through,Build a new brand philosophy across key skincare categories,,India,Shah Rukh Khan,1,Integrated,Celebrity + brand philosophy,0,Awareness,Campaign India,https://www.campaignindia.in/latest/new-campaigns,High,,0,0,2026-08,2026-08-24,Beauty & Personal Care,2026-08,0,Named talent used,Not occasion-linked
ICG-057,2026-08-24,ixigo,Travel,Independence Day Campaign,Explore India through rap,Encourage Gen Z to explore lesser-known Indian destinations,Independence Day,India,Music performers / creators,1,Digital / Music,Rap + youth travel discovery,0,Engagement,Campaign India,https://www.campaignindia.in/latest/new-campaigns,High,,1,0,2026-08,2026-08-24,Travel & Hospitality,2026-08,0,Named talent used,Occasion-linked
ICG-058,2026-08-24,FRND,Social / Consumer App,Independence Day Campaign,Dil Se Bol,Celebrate linguistic identity and authentic expression across Indian languages,Independence Day,India,None stated,0,Film / Audio,Multilingual cultural identity,0,Awareness,Campaign India,https://www.campaignindia.in/latest/new-campaigns,High,,1,0,2026-08,2026-08-24,Other,2026-08,0,No named talent stated,Occasion-linked
ICG-059,2026-08-24,Two Brothers India Farms,Food / D2C,Integrated Campaign,Food quality and sourcing campaign,Question everyday food choices and educate on sourcing,,India,Creators,1,OTT / Digital / Integrated,Humour + creators + food education,0,Consideration,Campaign India,https://www.campaignindia.in/latest/new-campaigns,High,,0,0,2026-08,2026-08-24,FMCG / Food & Beverage,2026-08,0,Named talent used,Not occasion-linked
ICG-060,2026-08-24,Luxor Crayola,Stationery / Kids,Experiential Partnership,Creativity beyond classrooms,Create family engagement through cinema-linked colouring experiences,,India,None stated,0,Cinema / Experiential,Interactive family activation,0,Engagement,Campaign India,https://www.campaignindia.in/latest/new-campaigns,High,,0,0,2026-08,2026-08-24,"Lifestyle, Home & Fashion",2026-08,0,No named talent stated,Not occasion-linked
ICG-061,2026-08-24,Ten x You,Sports / Lifestyle,Celebrity Brand Film,Play over performance film,Celebrate informal gully cricket rather than achievement metrics,,India,Sachin Tendulkar,1,Film / Digital,Cultural sports nostalgia,0,Awareness,Campaign India,https://www.campaignindia.in/latest/new-campaigns,High,,0,0,2026-08,2026-08-24,"Lifestyle, Home & Fashion",2026-08,0,Named talent used,Not occasion-linked
ICG-062,2026-08-24,Nykaa,Beauty Retail,Awareness Campaign,Beauty Awareness Week,Put personal beauty questions at the centre of discovery,Awareness Week,India,None stated,0,Content / Digital,Question-led personalization,1,Consideration,Campaign India,https://www.campaignindia.in/latest/new-campaigns,High,,1,0,2026-08,2026-08-24,Beauty & Personal Care,2026-08,0,No named talent stated,Occasion-linked
ICG-063,2026-08-24,Mercedes-Benz India,Automotive,Festive Sales Campaign,Dream Days,"Support luxury-car purchases with finance, exchange and upgrade benefits",Festive season,India,None stated,0,Integrated / Retail,Offer-led premium conversion,0,Conversion,Campaign India,https://www.campaignindia.in/latest/new-campaigns,High,,1,0,2026-08,2026-08-24,Automotive & Mobility,2026-08,1,No named talent stated,Occasion-linked
ICG-064,2026-08-24,Nykaa,Beauty Retail,Gen Z Participation Campaign,Be The Face of Nykaa,"Invite young beauty enthusiasts into campaigns, content and brand experiences",,India,Gen Z participants / creators,1,Social / Community,Participation + community co-creation,0,Engagement,Campaign India,https://www.campaignindia.in/latest/new-campaigns,High,,0,0,2026-08,2026-08-24,Beauty & Personal Care,2026-08,0,Named talent used,Not occasion-linked
ICG-065,2026-08-24,Narasu's Coffee,FMCG - Beverage,Centenary Campaign,A Century in a Cup,Mark 100 years by tracing changing eras through the ritual of filter coffee,Centenary,South India / India,None stated,0,TVC / Film,Heritage + ritual storytelling,0,Awareness,Campaign India,https://www.campaignindia.in/latest/new-campaigns,High,,1,1,2026-08,2026-08-24,FMCG / Food & Beverage,2026-08,0,No named talent stated,Occasion-linked
ICG-066,2026-08-25,Axis Bank,Banking,NRI Campaign,Emotional home-distance campaign,"Connect NRI banking with family care, responsibility and distance",,NRI / India,None stated,0,Film / Integrated,Emotional family storytelling,0,Consideration,Campaign India,https://www.campaignindia.in/latest/new-campaigns,High,,0,0,2026-08,2026-08-25,Financial Services,2026-08,0,No named talent stated,Not occasion-linked
ICG-067,2026-08-26,Coca-Cola India + IRCTC,FMCG - Beverage,Sustainability Partnership,Sprite Tejas Express waste-to-value expansion,Extend a branded train partnership through visible circular-economy infrastructure,,India,None stated,0,Partnership / Experiential,Sustainability + branded infrastructure,0,Awareness,Campaign India,https://www.campaignindia.in/latest/new-campaigns,High,,0,0,2026-08,2026-08-26,FMCG / Food & Beverage,2026-08,0,No named talent stated,Not occasion-linked
ICG-068,2026-08-26,Sify,Enterprise Technology,Brand Campaign,Your Move,"Frame enterprise AI adoption around flexibility, control and technology choice",,India,None stated,0,Integrated,Choice-led B2B positioning,1,Consideration,Campaign India,https://www.campaignindia.in/latest/new-campaigns,High,,0,0,2026-08,2026-08-26,Technology & Electronics,2026-08,0,No named talent stated,Not occasion-linked
ICG-069,2026-08-26,CenturyPly,Building Materials,National Celebrity Campaign,Total Cover campaign,Reframe warranties around the cost of rebuilding furniture,,India,Aamir Khan,1,Integrated,Celebrity + financial-risk reframing,0,Consideration,Campaign India,https://www.campaignindia.in/latest/new-campaigns,High,Campaign amplification of the Total Cover proposition reported earlier in August.,0,0,2026-08,2026-08-26,"Lifestyle, Home & Fashion",2026-08,0,Named talent used,Not occasion-linked
ICG-070,2026-08-26,Cleartrip,Online Travel,Offer Campaign,₹0 hotel-booking flexibility campaign,Use workplace satire to promote flexible hotel bookings,,India,None stated,0,Print / Integrated,Humour + offer-led conversion,0,Conversion,Campaign India,https://www.campaignindia.in/latest/new-campaigns,High,,0,0,2026-08,2026-08-26,Travel & Hospitality,2026-08,1,No named talent stated,Not occasion-linked
